type	name	tbl_name	rootpage	sql
table	android_frames_draw_frame	android_frames_draw_frame	0	CREATE VIRTUAL TABLE android_frames_draw_frame USING runtime_table
table	_distinct_layer_actual_timeline_slice_per_process	_distinct_layer_actual_timeline_slice_per_process	0	CREATE VIRTUAL TABLE _distinct_layer_actual_timeline_slice_per_process USING runtime_table
table	_distinct_from_expected_timeline_slice_per_process	_distinct_from_expected_timeline_slice_per_process	0	CREATE VIRTUAL TABLE _distinct_from_expected_timeline_slice_per_process USING runtime_table
table	android_frames_layers	android_frames_layers	0	CREATE VIRTUAL TABLE android_frames_layers USING runtime_table
table	android_frames	android_frames	0	CREATE VIRTUAL TABLE android_frames USING runtime_table
table	android_first_frame_after	android_first_frame_after	0	CREATE VIRTUAL TABLE android_first_frame_after USING runtime_table_function
table	_startup_events	_startup_events	0	CREATE VIRTUAL TABLE _startup_events USING runtime_table
table	_startups_maxsdk28	_startups_maxsdk28	0	CREATE VIRTUAL TABLE _startups_maxsdk28 USING runtime_table
table	_activity_intent_recv_spans	_activity_intent_recv_spans	0	CREATE VIRTUAL TABLE _activity_intent_recv_spans USING runtime_table
table	_startups_minsdk29	_startups_minsdk29	0	CREATE VIRTUAL TABLE _startups_minsdk29 USING runtime_table
table	_startups_minsdk33	_startups_minsdk33	0	CREATE VIRTUAL TABLE _startups_minsdk33 USING runtime_table
table	_android_startups_raw	_android_startups_raw	0	CREATE VIRTUAL TABLE _android_startups_raw USING runtime_table
table	_startup_indicator_slices	_startup_indicator_slices	0	CREATE VIRTUAL TABLE _startup_indicator_slices USING runtime_table
table	android_startup_processes	android_startup_processes	0	CREATE VIRTUAL TABLE android_startup_processes USING runtime_table
table	android_slices_for_startup_and_slice_name	android_slices_for_startup_and_slice_name	0	CREATE VIRTUAL TABLE android_slices_for_startup_and_slice_name USING runtime_table_function
table	android_binder_transaction_slices_for_startup	android_binder_transaction_slices_for_startup	0	CREATE VIRTUAL TABLE android_binder_transaction_slices_for_startup USING runtime_table_function
table	_slice_ancestor_and_self	_slice_ancestor_and_self	0	CREATE VIRTUAL TABLE _slice_ancestor_and_self USING runtime_table_function
table	_slice_descendant_and_self	_slice_descendant_and_self	0	CREATE VIRTUAL TABLE _slice_descendant_and_self USING runtime_table_function
table	_startup_root_slices	_startup_root_slices	0	CREATE VIRTUAL TABLE _startup_root_slices USING runtime_table
table	_startup_normalized_slices	_startup_normalized_slices	0	CREATE VIRTUAL TABLE _startup_normalized_slices USING runtime_table
table	_startup_slices_breakdown	_startup_slices_breakdown	0	CREATE VIRTUAL TABLE _startup_slices_breakdown USING runtime_table
table	_startup_flat_slices_breakdown	_startup_flat_slices_breakdown	0	CREATE VIRTUAL TABLE _startup_flat_slices_breakdown USING runtime_table
table	_startup_thread_states_breakdown	_startup_thread_states_breakdown	0	CREATE VIRTUAL TABLE _startup_thread_states_breakdown USING runtime_table
table	_startup_thread_states_and_slices_breakdown_sp	_startup_thread_states_and_slices_breakdown_sp	0	CREATE VIRTUAL TABLE _startup_thread_states_and_slices_breakdown_sp
USING
  SPAN_LEFT_JOIN(
    _startup_thread_states_breakdown PARTITIONED root_id,
    _startup_flat_slices_breakdown PARTITIONED root_id)
table	android_startup_opinionated_breakdown	android_startup_opinionated_breakdown	0	CREATE VIRTUAL TABLE android_startup_opinionated_breakdown USING runtime_table
table	_cores	_cores	0	CREATE VIRTUAL TABLE _cores USING runtime_table
table	android_cpu_cluster_mapping	android_cpu_cluster_mapping	0	CREATE VIRTUAL TABLE android_cpu_cluster_mapping USING runtime_table
table	_active_cpu_count_for_cluster_type	_active_cpu_count_for_cluster_type	0	CREATE VIRTUAL TABLE _active_cpu_count_for_cluster_type USING runtime_table_function
table	linux_per_cpu_idle_time_in_state_counters	linux_per_cpu_idle_time_in_state_counters	0	CREATE VIRTUAL TABLE linux_per_cpu_idle_time_in_state_counters USING runtime_table
table	linux_cpu_idle_time_in_state_counters	linux_cpu_idle_time_in_state_counters	0	CREATE VIRTUAL TABLE linux_cpu_idle_time_in_state_counters USING runtime_table
table	android_screenshots	android_screenshots	0	CREATE VIRTUAL TABLE android_screenshots USING runtime_table
table	__query_slice_track__clock_snapshots	__query_slice_track__clock_snapshots	0	CREATE VIRTUAL TABLE __query_slice_track__clock_snapshots USING runtime_table
table	_track_event_tracks_unordered	_track_event_tracks_unordered	0	CREATE VIRTUAL TABLE _track_event_tracks_unordered USING runtime_table
table	_min_ts_per_track	_min_ts_per_track	0	CREATE VIRTUAL TABLE _min_ts_per_track USING runtime_table
table	_track_event_has_children	_track_event_has_children	0	CREATE VIRTUAL TABLE _track_event_has_children USING runtime_table
table	_track_event_tracks_ordered_groups	_track_event_tracks_ordered_groups	0	CREATE VIRTUAL TABLE _track_event_tracks_ordered_groups USING runtime_table
table	android_device_name	android_device_name	0	CREATE VIRTUAL TABLE android_device_name USING runtime_table
table	_device_cpu_deep_idle_offsets	_device_cpu_deep_idle_offsets	0	CREATE VIRTUAL TABLE _device_cpu_deep_idle_offsets USING runtime_table
table	_wattson_device_map	_wattson_device_map	0	CREATE VIRTUAL TABLE _wattson_device_map USING runtime_table
table	_wattson_device	_wattson_device	0	CREATE VIRTUAL TABLE _wattson_device USING runtime_table
table	_cpu_to_policy_map	_cpu_to_policy_map	0	CREATE VIRTUAL TABLE _cpu_to_policy_map USING runtime_table
table	_dev_cpu_policy_map	_dev_cpu_policy_map	0	CREATE VIRTUAL TABLE _dev_cpu_policy_map USING runtime_table
table	_device_min_volt_vote	_device_min_volt_vote	0	CREATE VIRTUAL TABLE _device_min_volt_vote USING runtime_table
table	_use_devfreq	_use_devfreq	0	CREATE VIRTUAL TABLE _use_devfreq USING runtime_table
table	_use_devfreq_for_calc	_use_devfreq_for_calc	0	CREATE VIRTUAL TABLE _use_devfreq_for_calc USING runtime_table
table	_skip_devfreq_for_calc	_skip_devfreq_for_calc	0	CREATE VIRTUAL TABLE _skip_devfreq_for_calc USING runtime_table
table	_idle_state_map	_idle_state_map	0	CREATE VIRTUAL TABLE _idle_state_map USING runtime_table
table	_idle_state_map_override	_idle_state_map_override	0	CREATE VIRTUAL TABLE _idle_state_map_override USING runtime_table
table	_deepest_idle	_deepest_idle	0	CREATE VIRTUAL TABLE _deepest_idle USING runtime_table
table	process_scheduling_ed0395bf_3666_49e9_9db8_09fe997145b8	process_scheduling_ed0395bf_3666_49e9_9db8_09fe997145b8	0	CREATE VIRTUAL TABLE process_scheduling_ed0395bf_3666_49e9_9db8_09fe997145b8 USING __intrinsic_slice_mipmap((
        select
          s.id,
          s.ts,
          iif(
            s.dur = -1,
            ifnull(
              (
                select n.ts
                from tmp_ed0395bf_3666_49e9_9db8_09fe997145b8 n
                where n.ts > s.ts and n.cpu = s.cpu
                order by ts
                limit 1
              ),
              trace_end()
            ) - s.ts,
            s.dur
          ) as dur,
          s.cpu as depth
        from tmp_ed0395bf_3666_49e9_9db8_09fe997145b8 s
      ))
table	cpu_slice_f8d2e10b_dc34_4f6e_9cb4_c67b0e3800c1	cpu_slice_f8d2e10b_dc34_4f6e_9cb4_c67b0e3800c1	0	CREATE VIRTUAL TABLE cpu_slice_f8d2e10b_dc34_4f6e_9cb4_c67b0e3800c1
      using __intrinsic_slice_mipmap((
        select
          id,
          ts,
          iif(dur = -1, lead(ts, 1, trace_end()) over (order by ts) - ts, dur),
          0 as depth
        from sched
